Time,Time Code,Country Name,Country Code,"Access to clean fuels and technologies for cooking, rural (% of rural population) [EG.CFT.ACCS.RU.ZS]","Access to clean fuels and technologies for cooking, urban (% of urban population) [EG.CFT.ACCS.UR.ZS]","Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]","Access to electricity, urban (% of urban population) [EG.ELC.ACCS.UR.ZS]","People using safely managed drinking water services, rural (% of rural population) [SH.H2O.SMDW.RU.ZS]","People using safely managed sanitation services, rural (% of rural population) [SH.STA.SMSS.RU.ZS]",Rural population (% of total population) [SP.RUR.TOTL.ZS],Rural population [SP.RUR.TOTL],Rural population growth (annual %) [SP.RUR.TOTL.ZG],"People using safely managed drinking water services, urban (% of urban population) [SH.H2O.SMDW.UR.ZS]","People using safely managed sanitation services, urban (% of urban population) [SH.STA.SMSS.UR.ZS]",Urban population (% of total population) [SP.URB.TOTL.IN.ZS],Urban population growth (annual %) [SP.URB.GROW],Urban population [SP.URB.TOTL],"Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","Literacy rate, youth total (% of people ages 15-24) [SE.ADT.1524.LT.ZS]","Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","Government expenditure on education, total (% of government expenditure) [SE.XPD.TOTL.GB.ZS]"
2018,YR2018,Iceland,ISL,100,100,100,100,..,..,6.187,21823,2.03214806602448,..,..,93.813,2.72089370362867,330898,..,..,7.56170988082886,17.2492198944092
2018,YR2018,India,IND,40.9,89.1,93.9461421860235,99.1,55.5524373,44.97459733,65.97,903131481,0.437831346957146,..,35.927623,34.03,2.35916997461045,465871825,74.3729934692383,91.6640396118164,4.36373996734619,16.6353797912598
2018,YR2018,Indonesia,IDN,65.6,90.5,96.813407943445,99.88,..,..,44.675,119312112,-0.513557188930343,..,..,55.325,2.17730622664563,147754731,95.658561706543,99.7070770263672,3,16.5608901977539
2018,YR2018,"Iran, Islamic Rep.",IRN,92.6,98.9,100,100,86.55651124,..,25.102,21491720,-0.680038298805094,96.08990946,..,74.898,1.98307268151865,64125842,..,..,3.9553599357605,21.1460399627686
2018,YR2018,Iraq,IRQ,97.9,99.4,99.9,99.9,45.84110937,44.72745389,29.527,11985216,1.75931748800951,64.33821379,42.11817891,70.473,2.69464671792216,28605484,..,..,..,..
2018,YR2018,Ireland,IRL,100,100,100,100,..,72.49793251,36.83,1792632,0.635216255554204,..,88.57878967,63.17,1.5925156797727,3074684,..,..,3.39286994934082,13.3242902755737
2018,YR2018,Isle of Man,IMN,..,..,100,100,..,..,47.412,39719,-0.0427915178639676,..,..,52.588,0.482367260670351,44056,..,..,..,..
2018,YR2018,Israel,ISR,100,100,100,100,99.2144561,91.31459294,7.58199999999999,673494,0.850982671095507,99.4189453,93.62359289,92.418,2.01538441058595,8209306,..,..,6.11233997344971,15.5212202072144
2018,YR2018,Italy,ITA,100,100,100,100,..,94.29247257,29.562,17861881,-1.17966998936664,..,96.39121066,70.438,0.228197851468404,42559879,99.15576171875,99.9300003051758,4.25614023208618,8.79574012756348
2018,YR2018,Jamaica,JAM,84,88.1,95.8688489200148,99.9669418334961,..,..,44.326,1246374,-0.542503754990953,..,..,55.674,0.656204859085638,1565461,..,..,5.41380977630615,18.5839996337891
2018,YR2018,Japan,JPN,100,100,100,100,..,..,8.384,10631834,-1.08837298688176,..,..,91.616,-0.0384280781568938,116179166,..,..,3.07782006263733,8.12965774536133
2018,YR2018,Jordan,JOR,99.5,99.9,98.8914749508258,100,..,..,9.021,943584,-0.174183512704475,..,84.27171137,90.979,2.62043447958495,9516281,98.2271118164063,99.3437423706055,2.98481011390686,9.82532024383545
2018,YR2018,Kazakhstan,KAZ,88.3,97.9,100,100,..,..,42.572,7780651,1.09864658908731,..,90.79019153,57.428,1.47485581942704,10495801,99.7816314697266,99.8973617553711,2.61595010757446,13.8801803588867
2018,YR2018,Kenya,KEN,5.29999999999999,40,51.5516712403075,87.1748428344727,..,29.29572706,72.97,36450926,1.39342227787337,57.67425506,..,27.03,3.77930836146027,13502378,81.5349731445313,87.8300018310547,5.10761976242065,19.0351905822754
2018,YR2018,Kiribati,KIR,1.4,15.3,..,88.700065612793,6.503690602,25.98626219,45.943,56170,-0.151211947869385,20.63550475,26.06162924,54.057,3.04790179175851,66091,..,..,11.9682903289795,15.1397199630737
2018,YR2018,"Korea, Dem. People's Rep.",PRK,0.900000000000001,16.2,..,..,49.22616918,3.190201446,38.101,9768391,-0.102052748452382,77.07776654,..,61.899,0.833991119679068,15869758,99.9981918334961,99.999641418457,..,..
2018,YR2018,"Korea, Rep.",KOR,100,100,100,100,..,..,18.541,9564386,0.67111371180372,..,..,81.459,0.37951853428273,42020672,98.8000030517578,100,4.45807981491089,14.3129301071167
2018,YR2018,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2018,YR2018,Kuwait,KWT,100,100,100,100,..,..,0,0,..,..,..,100,4.55608227002645,4317185,96.0564727783203,99.0801315307617,6.38917016983032,11.7543096542358
2018,YR2018,Kyrgyz Republic,KGZ,67.2,94.8,100,100,56.27937053,96.3148628,63.649,4024399,1.65154697537392,90.82032537,85.02819114,36.351,2.58628057143274,2298401,99.5859985351563,99.75,5.55267000198364,16.7959003448486
2018,YR2018,Lao PDR,LAO,1.8,17.8,89.3455296158269,99.5,12.02564038,57.87449344,64.996,4617970,0.54494604039983,26.69404726,63.47585135,35.004,3.35234413792489,2487036,..,..,2.33501219749451,11.1683778762817
2018,YR2018,Latvia,LVA,100,100,100,100,..,..,31.858,613959,-0.989293510684483,..,..,68.142,-0.680734206500191,1313215,99.8893127441406,99.8199996948242,4.24356985092163,11.1475095748901
2018,YR2018,Lebanon,LBN,..,..,97.3700351496439,100,..,..,11.407,678812,-4.05478309678393,..,..,88.593,-2.44191255066585,5272027,95.0694427490234,99.751823425293,2.52447009086609,8.04745006561279
2018,YR2018,Lesotho,LSO,19.85,80.5,..,70.7,8.122889716,46.62675774,71.847,1579209,0.667365054142333,74.26032239,37.27951992,28.153,2.76837916419867,618808,..,..,7.28535985946655,14.1297998428345
2018,YR2018,Liberia,LBR,0.1,0.5,7.68151369113971,37.1797142028809,..,..,48.849,2388419,0.990309151408501,..,..,51.151,2.80691159969119,2500972,..,..,2.50391006469727,8.14778995513916
2018,YR2018,Libya,LBY,..,..,..,100,..,..,19.898,1288951,0.126306408772367,..,..,80.102,1.90486508306253,5188842,..,..,..,..
2018,YR2018,Liechtenstein,LIE,..,..,100,100,..,..,85.662,32707,0.742653631191466,..,..,14.338,0.917605998039284,5474,..,..,..,..
2018,YR2018,Lithuania,LTU,100,100,100,100,..,86.22330456,32.321,905487,-1.4571605741724,99.32429899,97.55941515,67.679,-0.713094844211595,1896056,..,..,3.89293003082275,11.742730140686
2018,YR2018,Luxembourg,LUX,100,100,100,100,96.5247381,89.34414785,9.01900000000001,54831,-0.848101406857531,99.73333333,97.47936485,90.981,2.20836515702366,553119,..,..,3.64749002456665,8.65857982635498
2018,YR2018,"Macao SAR, China",MAC,..,..,100,100,..,..,0,0,..,100,64.41104264,100,1.92034437176829,650991,..,..,2.72878003120422,15.1596899032593
2018,YR2018,Madagascar,MDG,0.5,2.9,15.9531406809281,71.2,9.160568255,7.431934983,62.809,16862044,1.49457525134665,36.1047771,13.62193403,37.191,4.3692755372339,9984497,76.6796798706055,79.8511734008789,2.84409999847412,19.8180408477783
2018,YR2018,Malawi,MWI,0.5,8.1,11.6934863350848,49.046703338623,..,23.04705147,83.063,15256915,2.41745080507702,..,26.94136566,16.937,4.01094745638731,3110968,..,..,3.32295989990234,15.8293504714966
2018,YR2018,Malaysia,MYS,91.8,98.2,99.988124836125,100,..,..,23.964,7764161,-1.11250578336558,..,..,76.036,2.09328844583722,24635110,94.8544082641602,96.8503265380859,4.47865009307861,19.6432590484619
